22.03.2024;CAP-240322.PSV;2.0.7
TradingDate;CellComputerNo;SiteCarParkNumber;ProductionNumber;PaymentNumber;ProductionDateTime;Device;TicketType;TicketSubType;ParkingArticle;Quantity;Amount;BookedValue;EPAN;ShiftID;Cashier;InvoiceReference
22.03.2024;1016;1045;271618;2834271;22.03.2024 03:32:14;815;1;4;104;1;3000;3000;02494471016018154082127340;282;0000100231;
22.03.2024;1016;1045;271619;2834332;22.03.2024 03:35:40;825;1;4;104;1;4000;4000;02494471016018254082129400;286;0000100190;
22.03.2024;1016;1045;271620;2834372;22.03.2024 03:37:29;825;1;4;104;1;3000;3000;02494471016018254082130490;286;0000100190;
22.03.2024;1016;1045;271621;2834578;22.03.2024 03:50:10;805;1;4;104;1;4500;4500;02494471016018054082138100;279;0000100082;
22.03.2024;1016;1045;271622;2834667;22.03.2024 03:54:06;831;1;4;104;1;6000;6000;02494471016018314082140460;246;0000100234;
22.03.2024;1016;1045;271623;2834974;22.03.2024 04:09:45;803;1;4;104;1;3000;3000;02494471016018034082149850;278;0000100042;
22.03.2024;1016;1045;271624;2835039;22.03.2024 04:11:44;822;1;4;104;1;3000;3000;02494471016018224082151040;186;0000100232;
22.03.2024;1016;1045;271625;2835116;22.03.2024 04:13:20;807;1;4;104;1;3000;3000;02494471016018074082152000;285;0000100138;
22.03.2024;1016;1045;271626;2835246;22.03.2024 04:15:55;822;1;4;104;1;3000;3000;02494471016018224082153550;186;0000100232;
22.03.2024;1016;1045;271627;2835255;22.03.2024 04:16:25;831;1;4;104;1;4000;4000;02494471016018314082153850;246;0000100234;
22.03.2024;1016;1045;271628;2835373;22.03.2024 04:19:26;824;1;4;104;1;3000;3000;02494471016018244082155660;283;0000100050;
22.03.2024;1016;1045;271629;2835389;22.03.2024 04:20:06;837;1;4;104;1;4000;4000;02494471016018374082156060;63;0000100073;
22.03.2024;1016;1045;271630;2835440;22.03.2024 04:21:05;831;1;4;104;1;4000;4000;02494471016018314082156650;246;0000100234;
22.03.2024;1016;1045;271631;2835498;22.03.2024 04:24:01;803;1;4;104;1;3000;3000;02494471016018034082158410;278;0000100042;
22.03.2024;1016;1045;271632;2835632;22.03.2024 04:28:35;802;1;4;104;1;4500;4500;02494471016018024082161150;285;0000100111;
22.03.2024;1016;1045;271633;2835702;22.03.2024 04:33:48;826;1;4;104;1;4000;4000;02494471016018264082164280;280;0000100207;
22.03.2024;1016;1045;271634;2835734;22.03.2024 04:34:44;837;1;4;104;1;3000;3000;02494471016018374082164840;63;0000100073;
22.03.2024;1016;1045;271635;2835905;22.03.2024 04:37:32;803;1;4;104;1;6000;6000;02494471016018034082166520;278;0000100042;
22.03.2024;1016;1045;271636;2835929;22.03.2024 04:37:54;823;1;4;104;1;6000;6000;02494471016018234082166740;281;0000100173;
22.03.2024;1016;1045;271637;2836081;22.03.2024 04:44:33;829;1;4;104;1;3000;3000;02494471016018294082170730;289;0000100236;
