Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24
04.06.2024	PPA-240604.PSV	2.0.11	2.1.4																				
TradingDate	SiteCarParkNumber	CellComputerNo	PaymentNumber	DeviceNumber	TranDateTime	Cancelled	Price	Turnover	PaymentType	PaymentMethod	Discounted	NetPrice	NetTurnover	PaymentReason	ShiftID	Quantity	PaymentCount	ReceiptNo	Cashier	FirstPaymntNo	TicketEPAN	VATAmount	TariffKey
04.06.2024	1068	1029	201	201	03.06.2024 15:30:01	N	50	0	0	0	Y	40	0	12	165	1	1	5	201	201	024009010290200027000070	0	0
04.06.2024	1068	1029	202	201	03.06.2024 15:40:01	N	500	0	0	0	Y	398	0	12	165	1	1	6	201	202	024009010290200027000040	0	0
04.06.2024	1068	1029	203	201	04.06.2024 11:03:11	N	50	0	0	0	Y	40	0	12	165	1	1	1	201	203	024009010290200027000060	0	0
04.06.2024	1068	1029	204	201	04.06.2024 11:03:25	N	500	500	0	0	N	398	398	2	165	1	1	2	201	204	024009010290200027000030	102	0
04.06.2024	1068	1029	205	201	04.06.2024 11:03:48	N	500	0	0	0	Y	398	0	12	165	1	1	3	201	205	024009010290200027000050	0	0
04.06.2024	1068	1029	206	201	04.06.2024 11:04:38	N	50	0	0	0	Y	40	0	12	165	1	1	4	201	206	024009010290200027000080	0	0
04.06.2024	1068	1029	207	201	04.06.2024 11:10:01	N	50	0	0	0	Y	40	0	12	165	1	1	7	201	207	024009010290200027000070	0	0
04.06.2024	1068	1029	201	201	03.06.2024 15:30:01	N	50	0	0	0	Y	40	0	12	165	1	1	5	201	201	024009010290200026000010	0	0
04.06.2024	1068	1029	202	201	03.06.2024 15:40:01	N	500	0	0	0	Y	398	0	12	165	1	1	6	201	202	024009010290200026000020	0	0
04.06.2024	1068	1029	203	201	04.06.2024 11:03:11	N	50	0	0	0	Y	40	0	12	165	1	1	1	201	203	024009010290200026000030	0	0
04.06.2024	1068	1029	204	201	04.06.2024 11:03:25	N	500	500	0	0	N	398	398	2	165	1	1	2	201	204	024009010290200026000040	102	0
04.06.2024	1068	1029	205	201	04.06.2024 11:03:48	N	500	0	0	0	Y	398	0	12	165	1	1	3	201	205	024009010290200026000050	0	0
04.06.2024	1068	1029	206	201	04.06.2024 11:04:38	N	50	0	0	0	Y	40	0	12	165	1	1	4	201	206	024009010290200026000060	0	0
04.06.2024	1068	1029	207	201	04.06.2024 11:10:01	N	50	0	0	0	Y	40	0	12	165	1	1	7	201	207	024009010290200026000070	0	0
