23.03.2024;CAP-240323.PSV;2.0.7
TradingDate;CellComputerNo;SiteCarParkNumber;ProductionNumber;PaymentNumber;ProductionDateTime;Device;TicketType;TicketSubType;ParkingArticle;Quantity;Amount;BookedValue;EPAN;ShiftID;Cashier;InvoiceReference
23.03.2024;1016;1045;274478;2901397;23.03.2024 02:29:09;824;1;4;104;1;4500;4500;02494471016018244083089490;287;0000100042;
23.03.2024;1016;1045;274479;2901466;23.03.2024 02:32:11;836;1;4;104;1;3000;3000;02494471016018364083091310;279;0000100190;
23.03.2024;1016;1045;274480;2901756;23.03.2024 02:39:11;816;1;4;104;1;4500;4500;02494471016018164083095510;287;0000100082;
23.03.2024;1016;1045;274481;2901798;23.03.2024 02:40:26;818;1;4;104;1;4500;4500;02494471016018184083096260;290;0000100124;
23.03.2024;1016;1045;274482;2902221;23.03.2024 02:51:59;825;1;4;104;1;3000;3000;02494471016018254083103190;290;0000100238;
23.03.2024;1016;1045;274483;2902286;23.03.2024 02:53:50;822;1;4;104;1;3000;3000;02494471016018224083104300;190;0000100137;
23.03.2024;1016;1045;274484;2902341;23.03.2024 02:54:30;829;1;4;104;1;3000;3000;02494471016018294083104700;293;0000100185;
23.03.2024;1016;1045;274485;2902561;23.03.2024 03:02:08;807;1;4;104;1;4000;4000;02494471016018074083109280;289;0000100092;
23.03.2024;1016;1045;274486;2902863;23.03.2024 03:12:54;807;1;4;104;1;4000;4000;02494471016018074083115740;289;0000100092;
23.03.2024;1016;1045;274487;2903366;23.03.2024 03:24:22;804;1;4;104;1;3000;3000;02494471016018044083122620;285;0000100233;
23.03.2024;1016;1045;274488;2903410;23.03.2024 03:25:24;822;1;4;104;1;3000;3000;02494471016018224083123240;190;0000100137;
23.03.2024;1016;1045;274489;2903503;23.03.2024 03:26:27;804;1;4;104;1;3000;3000;02494471016018044083123870;285;0000100233;
23.03.2024;1016;1045;274490;2903983;23.03.2024 03:44:29;804;1;4;104;1;6000;6000;02494471016018044083134690;285;0000100233;
23.03.2024;1016;1045;274491;2904184;23.03.2024 03:46:16;826;1;4;104;1;4000;4000;02494471016018264083135760;284;0000100084;
23.03.2024;1016;1045;274492;2904257;23.03.2024 03:48:04;821;1;4;104;1;3000;3000;02494471016018214083136840;280;0000100053;
23.03.2024;1016;1045;274493;2904397;23.03.2024 03:51:38;825;1;4;104;1;3000;3000;02494471016018254083138980;290;0000100238;
23.03.2024;1016;1045;274494;2904996;23.03.2024 04:08:46;806;1;4;104;1;3000;3000;02494471016018064083149260;282;0000100183;
23.03.2024;1016;1045;274495;2905095;23.03.2024 04:10:57;804;1;4;104;1;9000;9000;02494471016018044083150570;285;0000100233;
23.03.2024;1016;1045;274496;2905215;23.03.2024 04:13:42;806;1;4;104;1;3000;3000;02494471016018064083152220;282;0000100183;
23.03.2024;1016;1045;274497;2905334;23.03.2024 04:17:51;818;1;4;104;1;4000;4000;02494471016018184083154710;290;0000100124;
23.03.2024;1016;1045;274498;2905524;23.03.2024 04:29:10;804;1;4;104;1;4000;4000;02494471016018044083161500;285;0000100233;
23.03.2024;1016;1045;274499;2905586;23.03.2024 04:33:06;815;1;4;104;1;3000;3000;02494471016018154083163860;286;0000100060;
23.03.2024;1016;1045;274500;2905600;23.03.2024 04:33:37;825;1;4;104;1;3000;3000;02494471016018254083164170;290;0000100238;
23.03.2024;1016;1045;274501;2905718;23.03.2024 04:43:06;822;1;4;104;1;3000;3000;02494471016018224083169860;190;0000100137;
23.03.2024;1016;1045;274502;2905736;23.03.2024 04:43:22;804;1;4;104;1;3000;3000;02494471016018044083170020;285;0000100233;
23.03.2024;1016;1045;274503;2905744;23.03.2024 04:43:43;822;1;4;104;1;3000;3000;02494471016018224083170230;190;0000100137;
23.03.2024;1016;1045;274504;2905957;23.03.2024 04:56:23;831;1;4;104;1;5000;5000;02494471016018314083177830;250;0000100066;
23.03.2024;1016;1045;274505;2906015;23.03.2024 04:58:20;822;1;4;104;1;4000;4000;02494471016018224083179000;190;0000100137;
23.03.2024;1016;1045;274506;2906066;23.03.2024 04:59:49;826;1;4;104;1;3000;3000;02494471016018264083179890;284;0000100084;
23.03.2024;1016;1045;274507;2906083;23.03.2024 05:00:28;822;1;4;104;1;3000;3000;02494471016018224083180280;190;0000100137;
23.03.2024;1016;1045;274508;2906133;23.03.2024 05:02:43;805;1;4;104;1;3000;3000;02494471016018054083181630;283;0000100236;
23.03.2024;1016;1045;274509;2906146;23.03.2024 05:03:06;831;1;4;104;1;5000;5000;02494471016018314083181860;250;0000100066;
