25.05.2024;CAP-240525.PSV;2.0.7
TradingDate;CellComputerNo;SiteCarParkNumber;ProductionNumber;PaymentNumber;ProductionDateTime;Device;TicketType;TicketSubType;ParkingArticle;Quantity;Amount;BookedValue;EPAN;ShiftID;Cashier;InvoiceReference
25.05.2024;1016;1045;404731;;25.05.2024 17:31:31;829;1;4;104;1;3000;3000;02494471016018294146630910;548;0000100239;
25.05.2024;1016;1045;404732;;25.05.2024 17:49:40;823;1;4;104;1;3000;3000;02494471016018234146641800;541;0000100120;
25.05.2024;1016;1045;404733;;25.05.2024 17:56:18;829;1;4;104;1;3000;3000;02494471016018294146645780;548;0000100239;
25.05.2024;1016;1045;404734;;25.05.2024 18:17:51;814;1;4;104;1;5000;5000;02494471016018144146658710;375;0000100090;
25.05.2024;1016;1045;404735;;25.05.2024 18:45:38;837;1;4;104;1;4000;4000;02494471016018374146675380;322;0000100094;
25.05.2024;1016;1045;404736;;25.05.2024 18:47:00;836;1;4;104;1;6000;6000;02494471016018364146676200;533;0000100119;
25.05.2024;1016;1045;404737;;25.05.2024 18:47:41;822;1;4;104;1;3000;3000;02494471016018224146676610;445;0000100096;
25.05.2024;1016;1045;404738;;25.05.2024 18:50:03;825;1;4;104;1;4500;4500;02494471016018254146678030;546;0000100083;
25.05.2024;1016;1045;404739;;25.05.2024 18:54:35;801;1;4;104;1;3000;3000;02494471016018014146680750;517;0000100078;
25.05.2024;1016;1045;404740;;25.05.2024 18:57:21;803;1;4;104;1;4000;4000;02494471016018034146682410;538;0000100069;
25.05.2024;1016;1045;404741;;25.05.2024 18:58:50;837;1;4;104;1;3000;3000;02494471016018374146683300;322;0000100094;
25.05.2024;1016;1045;404742;;25.05.2024 19:01:20;805;1;4;104;1;4000;4000;02494471016018054146684800;536;0000100208;
25.05.2024;1016;1045;404743;;25.05.2024 19:01:48;829;1;4;104;1;3000;3000;02494471016018294146685080;548;0000100239;
25.05.2024;1016;1045;404744;;25.05.2024 19:08:30;830;1;4;104;1;3000;3000;02494471016018304146689100;536;0000100243;
25.05.2024;1016;1045;404745;;25.05.2024 19:17:47;836;1;4;104;1;3000;3000;02494471016018364146694670;533;0000100119;
25.05.2024;1016;1045;404746;;25.05.2024 19:17:54;807;1;4;104;1;4000;4000;02494471016018074146694740;543;0000100033;
25.05.2024;1016;1045;404747;;25.05.2024 19:23:04;830;1;4;104;1;3000;3000;02494471016018304146697840;536;0000100243;
25.05.2024;1016;1045;404748;;25.05.2024 19:26:21;823;1;4;104;1;3000;3000;02494471016018234146699810;541;0000100120;
25.05.2024;1016;1045;404749;;25.05.2024 19:36:19;829;1;4;104;1;3000;3000;02494471016018294146705790;548;0000100239;
