02.03.2024;CAP-240302.PSV;2.0.7
TradingDate;CellComputerNo;SiteCarParkNumber;ProductionNumber;PaymentNumber;ProductionDateTime;Device;TicketType;TicketSubType;ParkingArticle;Quantity;Amount;BookedValue;EPAN;ShiftID;Cashier;InvoiceReference
02.03.2024;1016;1045;222179;2002371;02.03.2024 22:52:54;822;1;4;104;1;6000;6000;02494471016018224062823740;109;0000100173;
02.03.2024;1016;1045;222180;2002395;02.03.2024 22:53:34;803;1;4;104;1;3000;3000;02494471016018034062824140;201;0000100233;
02.03.2024;1016;1045;222181;2002406;02.03.2024 22:53:46;822;1;4;104;1;6000;6000;02494471016018224062824260;109;0000100173;
02.03.2024;1016;1045;222182;2002594;02.03.2024 22:58:19;820;1;4;104;1;6000;6000;02494471016018204062826990;97;0000100080;
02.03.2024;1016;1045;222183;2002708;02.03.2024 23:01:15;829;1;4;104;1;3000;3000;02494471016018294062828750;212;0000100238;
02.03.2024;1016;1045;222184;2002735;02.03.2024 23:01:52;822;1;4;104;1;3000;3000;02494471016018224062829120;109;0000100173;
02.03.2024;1016;1045;222185;2002797;02.03.2024 23:03:24;826;1;4;104;1;3000;3000;02494471016018264062830040;203;0000100066;
02.03.2024;1016;1045;222186;2002808;02.03.2024 23:03:43;830;1;4;104;1;3000;3000;02494471016018304062830230;200;0000100185;
02.03.2024;1016;1045;222187;2003051;02.03.2024 23:09:48;828;1;4;104;1;6000;6000;02494471016018284062833880;193;0000100050;
02.03.2024;1016;1045;222188;2003129;02.03.2024 23:11:47;824;1;4;104;1;3000;3000;02494471016018244062835070;206;0000100053;
02.03.2024;1016;1045;222189;2003209;02.03.2024 23:13:30;825;1;4;104;1;3000;3000;02494471016018254062836100;209;0000100111;
02.03.2024;1016;1045;222190;2003427;02.03.2024 23:18:09;803;1;4;104;1;3000;3000;02494471016018034062838890;201;0000100233;
02.03.2024;1016;1045;222191;2003633;02.03.2024 23:22:47;807;1;4;104;1;4000;4000;02494471016018074062841670;207;0000100060;
02.03.2024;1016;1045;222192;2003910;02.03.2024 23:29:46;801;1;4;104;1;6000;6000;02494471016018014062845860;187;0000100183;
02.03.2024;1016;1045;222193;2004092;02.03.2024 23:33:50;801;1;4;104;1;3000;3000;02494471016018014062848300;187;0000100183;
02.03.2024;1016;1045;222194;2004131;02.03.2024 23:34:32;804;1;4;104;1;3000;3000;02494471016018044062848720;203;0000100236;
02.03.2024;1016;1045;222195;2004284;02.03.2024 23:37:42;834;1;4;104;1;4000;4000;02494471016018344062850620;24;0000100092;
