18.03.2024;PPA-240318.PSV;2.0.7
TradingDate;SiteCarParkNumber;CellComputerNo;PaymentNumber;DeviceNumber;TranDateTime;Cancelled;Price;Turnover;PaymentType;PaymentMethod;Discounted;NetPrice;NetTurnover;PaymentReason;ShiftID;Quantity;PaymentCount;ReceiptNo;Cashier;FirstPaymntNo
18.03.2024;1045;1016;"2675284";821;18.03.2024 11:49:25;"N";6000;6000;0;1;"N";5263;5263;1;261;1;1;83379;00063;"2675284"
18.03.2024;1045;1016;"2675285";835;18.03.2024 11:49:28;"N";4000;4000;0;1;"N";3509;3509;1;173;1;1;19434;00033;"2675285"
18.03.2024;1045;1016;"2675286";817;18.03.2024 11:49:33;"N";3000;3000;0;1;"N";2632;2632;1;264;1;1;64396;00123;"2675286"
18.03.2024;1045;1016;"2675287";829;18.03.2024 11:49:35;"N";3000;3000;0;1;"N";2632;2632;1;274;1;1;85426;00230;"2675287"
18.03.2024;1045;1016;"2675288";801;18.03.2024 11:49:35;"N";3000;3000;0;1;"N";2632;2632;1;248;1;1;54884;00078;"2675288"
18.03.2024;1045;1016;"2675289";802;18.03.2024 11:49:38;"N";6000;6000;0;1;"N";5263;5263;1;270;1;1;122023;00237;"2675289"
18.03.2024;1045;1016;"2675290";804;18.03.2024 11:49:40;"N";4500;4500;0;1;"N";3947;3947;1;266;1;1;156075;00120;"2675290"
18.03.2024;1045;1016;"2675291";805;18.03.2024 11:49:41;"N";3000;3000;0;1;"N";2632;2632;1;264;1;1;137392;00119;"2675291"
18.03.2024;1045;1016;"2675292";815;18.03.2024 11:49:41;"N";4000;4000;0;1;"N";3509;3509;1;267;1;1;147497;00208;"2675292"
18.03.2024;1045;1016;"2675293";823;18.03.2024 11:49:43;"N";3000;3000;0;1;"N";2632;2632;1;266;1;1;171348;00069;"2675293"
18.03.2024;1045;1016;"2675294";818;18.03.2024 11:49:44;"N";7500;0;0;0;"N";7500;0;1;271;1;1;46194;00153;"2675294"
18.03.2024;1045;1016;"2675295";801;18.03.2024 11:49:49;"N";3000;3000;0;1;"N";2632;2632;1;248;1;1;54885;00078;"2675295"
18.03.2024;1045;1016;"2675296";803;18.03.2024 11:49:49;"N";3000;3000;0;1;"N";2632;2632;1;263;1;1;160093;00198;"2675296"
